1 30,0.8333333333333334
you won't be there to make sure,1.5
the applicant is monica,1.7
so we have time for the main,2.1666666666666665
you're,2.25
t need me to do something to my computers in my office wasn't,2.611111111111111
shall we start with an update from everyone?,4.642857142857143
did you speak to customer service?,5.083333333333333
is that everything for the training departments?,5.4375
can you let me know how that goes?,5.5
will be looking after reception while she's having her interview?,6.071428571428571
what's happening in the training department this week?,6.166666666666667
so that's,6.25
should i speak to anna?,6.625
it supplies power to homes across the uk human resources.,7.05
are all the interviews this week?,7.3
i am preparing something for david in marketing on my idea for schools day.,7.681818181818182
what do you mean?,7.833333333333333
you mean?,7.833333333333333
what about the internet training?,7.875
one of them is working with cold center staff at the other side.,7.944444444444445
"and you'd think people would enjoy having some training,",7.95
how are things going with that?,8.1
"yes, in fact, i'm meeting anna today, so i'll",8.15
but what about my time on it?,8.833333333333334
"we might be sponsoring a one day event for schools to inform students about energy where it comes from, how we use it, that type of thing.",8.852941176470589
"departmental managers have just started their weekly team meeting, led by paul, the head of hr.",9.1
going to proceed with caution with david on the school's events.,9.25
"um, i'm going to get back to you when i've spoken to honor about the call centre training.",9.46875
i'm interviewing monica with maya tomorrow.,9.9375
"can we try and keep this to 20 minutes, though?",10.055555555555555
"i have an update meeting this week with matter, lucy",10.642857142857142
"well, we have three applicants for the post of finance assistant.",10.958333333333334
the applicants are applying to be in her team.,11.083333333333334
we have to external trainers in this week.,11.357142857142858
we are waiting for t to say they're ready.,11.416666666666666
please keep me informed on that one.,11.583333333333334
"marketing, unhappy that you were involved, but i don't want it to come out of the training budget.",11.625
just so i know what i could do next.,11.75
"so, just to recap,",12.3
court's power group is an energy company.,12.583333333333334
i was going to do that today.,12.583333333333334
major said she's off sick.,12.583333333333334
"well, there were lots of absences for the last training we had at the call center.",12.590909090909092
"i think there have been some delays, but now they're telling me it'll be ready next month.",12.681818181818182
item afterwards.,12.7
"just saying, watch how much time it takes.",12.95
you said i could have tomorrow off.,13.5
"damn, maria, let's just recap.",13.85
"okay, so who's next?",14.071428571428571
"ingrid, how are things going with you?",14.071428571428571
"are things going, maria?",14.357142857142858
"i know, david, i love you organizing the whole event.",14.38888888888889
something.,14.5
"you're going to speak to matter, lucy, about the internet, training on dhe.",14.65
"ok, leave it with me",14.875
"but i'm away tomorrow, so somebody needs to interview.",15.055555555555555
"i know, but her interviews tomorrow, so we have to assume that she'll be there.",15.166666666666666
"okay,",15.375
it's unpaid time.,15.5
so i hope they all turn up.,15.625
quite a lot.,15.625
d'oh.,15.625
moniker on reception.,15.625
really all behind on that song.,15.875
monica.,15.875
what?,16.125
i can't.,16.125
"well, the same tempest today, i hope.",16.1875
"um, so who's next?",16.25
it's not really their decision to go or not.,16.3
"well, really, it should all come under",16.375
"okay, well, this is fine.",16.6875
"yes, but i think one of us should be there.",17.0625
"uh, what time?",17.3
"be careful with that one, maria.",18.571428571428573
"on dde, who",19.5
"oh,",19.833333333333332
anyway.,19.84375
"recruitment, carina.",19.916666666666668
free.,20.166666666666668
"uh, so how",20.166666666666668
mention it.,20.166666666666668
"uh,",20.166666666666668
"um,",20.166666666666668
"so far, so good.",21.25
but they have to go.,22.833333333333332
"oh, on dhe.",24.1
"i'm surprised, really.",24.5
"no, no, it's fine.",26.1
yes.,28.666666666666668
"maya, do it.",29.625
no.,29.75
"yes, they are.",30.375
sorry.,44.875
